conprac,Trt.combo,Paper,Site,DOI/ISSN,Control
Organic amendment,75NPK/25straw/75NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
Organic amendment,50NPK/50greenmanure/100NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
Organic amendment,75NPK/25greenmanure/75NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
Organic amendment,100NPK/50FYM/100NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
Organic amendment,100 NPK/Cowpea,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
Organic amendment,"75% NP, Sulphitation Pressmud, Conventional Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Organic amendment,"75% NP, Farmyard Manure, Conventional Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Organic amendment,"100% NP, Sulphitation Pressmud, Conventional Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Organic amendment,"100% NP, Farmyard Manure, Conventional Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Organic amendment,"75% NP, Sulphitation Pressmud, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Organic amendment,"75% NP, Farmyard Manure, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Organic amendment,"100% NP, Sulphitation Pressmud, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Organic amendment,"100% NP, Farmyard Manure, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Reduced tillage,Direct drill,Abdollahi and Munkholm 2014,NA,10.2136/sssaj2013.07.0301,NA
Reduced tillage,"Continous Sorghum, No Till",Alemu et al. 1997,NA,10.1080/00103629709369772,NA
Reduced tillage,"Wheat Sorghum Fallow, No Till",Alemu et al. 1997,NA,10.1080/00103629709369772,NA
Reduced tillage,No Till,Arshad et al. 1999,Silt Loam,NO  DOI,NA
Reduced tillage,Flexible tillage,Barber et al. 1996,NA,10.1016/0167-1987(96)01012-4,NA
Reduced tillage,No tillage,Barber et al. 1996,NA,10.1016/0167-1987(96)01012-4,NA
Reduced tillage,Reduced tillage/chisel plow,Barber et al. 1996,NA,10.1016/0167-1987(96)01012-4,NA
Reduced tillage,Zero tillage,Bazaya et al. 2009,NA,10.1016/j.still.2009.05.006,NA
Reduced tillage,Zero tillage,Bhattacharyya et al. 2008,NA,10.1016/j.agwat.2008.03.007,NA
Reduced tillage,No Till,Gangwar et al. 2006,NA,10.1016/j.still.2005.06.015,NA
Reduced tillage,Reduced Till,Gangwar et al. 2006,NA,10.1016/j.still.2005.06.015,NA
Reduced tillage,AFCST,Ketema and Yimer 2014,10 year,10.1016/j.still.2014.03.011,NA
Reduced tillage,AFCST,Ketema and Yimer 2014,15 year,10.1016/j.still.2014.03.011,NA
Reduced tillage,AFCST,Ketema and Yimer 2014,5 year,10.1016/j.still.2014.03.011,NA
Reduced tillage,"Spring wheat - winter wheat - sunflower, No till",Liebig et al 2004,1984 site,10.1016/j.still.2004.02.002,NA
Reduced tillage,No till,Locke et al 2013,NA,10.2136/sssaj2012.0325,NA
Reduced tillage,"No till, Stover harvested",Moebius-Clune et al. 2008,NA,10.2136/sssaj2007.0248,NA
Reduced tillage,"No till, Stover returned",Moebius-Clune et al. 2008,NA,10.2136/sssaj2007.0248,NA
Reduced tillage,Zero Till,Sasal et al. 2006,Trial 1,10.1016/j.still.2005.02.025,NA
Reduced tillage,Zero Till,Sasal et al. 2006,Trial 2,10.1016/j.still.2005.02.025,NA
Reduced tillage,Zero Till,Sasal et al. 2006,Trial 3,10.1016/j.still.2005.02.025,NA
Reduced tillage,ZTDSR/ZTM,Singh et al. 2016,NA,10.1016/j.still.2015.08.004,NA
Reduced tillage,No Till,So et al. 2009,NA,10.1016/j.still.2008.10.017,NA
Reduced tillage,Direct seeding,Thierfelder and Wall 2010,NA,10.1017/S001447971000030X,NA
Reduced tillage,Direct seeding 2 year rotation,Thierfelder and Wall 2010,NA,10.1017/S001447971000030X,NA
Reduced tillage,Direct seeding 3 year rotation,Thierfelder and Wall 2010,NA,10.1017/S001447971000030X,NA
Reduced tillage,"Control, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Reduced tillage,"75% NP, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Reduced tillage,"100% NP, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Reduced tillage,"75% NP, Gypsum, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Reduced tillage,"75% NP, Sulphitation Pressmud, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Reduced tillage,"75% NP, Farmyard Manure, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Reduced tillage,"100% NP, Gypsum, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Reduced tillage,"100% NP, Sulphitation Pressmud, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
Reduced tillage,"100% NP, Farmyard Manure, No Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
NA,Harrowing,Abdollahi and Munkholm 2014,NA,10.2136/sssaj2013.07.0301,NA
NA,Moldboard plow,Abdollahi and Munkholm 2014,NA,10.2136/sssaj2013.07.0301,y
NA,No cover crop,Abdollahi and Munkholm 2014,NA,10.2136/sssaj2013.07.0301,y
NA,"Continous Sorghum, Stubble Mulch Till",Alemu et al. 1997,NA,10.1080/00103629709369772,y
NA,Conventional Till,Arshad et al. 1999,Silt Loam,NO  DOI,y
NA,Conventional tillage,Barber et al. 1996,NA,10.1016/0167-1987(96)01012-4,y
NA,Conventional Sowing,Bazaya et al. 2009,NA,10.1016/j.still.2009.05.006,y
NA,Rotavator,Bazaya et al. 2009,NA,10.1016/j.still.2009.05.006,NA
NA,Conventional tillage,Bhattacharyya et al. 2008,NA,10.1016/j.agwat.2008.03.007,y
NA,Pre-sowing + active tillering,Bhattacharyya et al. 2008,NA,10.1016/j.agwat.2008.03.007,NA
NA,Pre-sowing irrigation,Bhattacharyya et al. 2008,NA,10.1016/j.agwat.2008.03.007,NA
NA,Pre-sowing+active tillering+panicle initiation,Bhattacharyya et al. 2008,NA,10.1016/j.agwat.2008.03.007,NA
NA,Pre-sowing+active tillering+panicle initiation+grain filling,Bhattacharyya et al. 2008,NA,10.1016/j.agwat.2008.03.007,NA
NA,Conventional Till,Gangwar et al. 2006,NA,10.1016/j.still.2005.06.015,y
NA,Residue removed,Gangwar et al. 2006,NA,10.1016/j.still.2005.06.015,NA
NA,MCVT,Ketema and Yimer 2014,10 year,10.1016/j.still.2014.03.011,y
NA,MCVT,Ketema and Yimer 2014,15 year,10.1016/j.still.2014.03.011,y
NA,MCVT,Ketema and Yimer 2014,5 year,10.1016/j.still.2014.03.011,y
NA,BBF + residue incorporation,Kuotsu et al. 2014,NA,10.1016/j.still.2014.04.008,NA
NA,BBF+residue incorporation + headge leaves incorporation,Kuotsu et al. 2014,NA,10.1016/j.still.2014.04.008,NA
NA,BBF+residue incorporation + headge leaves mulching(No Till),Kuotsu et al. 2014,NA,10.1016/j.still.2014.04.008,NA
NA,Flat bed + residue removal,Kuotsu et al. 2014,NA,10.1016/j.still.2014.04.008,NA
NA,RB+residue incorporation + headge leaves incorporation,Kuotsu et al. 2014,NA,10.1016/j.still.2014.04.008,NA
NA,RB+residue incorporation + headge leaves mulching(No Till),Kuotsu et al. 2014,NA,10.1016/j.still.2014.04.008,NA
NA,RB+residue incorporation,Kuotsu et al. 2014,NA,10.1016/j.still.2014.04.008,NA
NA,Control,Lal et al. 1978,NA,10.1016/0378-4290(78)90008-4,y
NA,"Spring wheat - fallow, Conventional tillage",Liebig et al 2004,1984 site,10.1016/j.still.2004.02.002,y
NA,Minimum till,Locke et al 2013,NA,10.2136/sssaj2012.0325,NA
NA,No cover,Locke et al 2013,NA,10.2136/sssaj2012.0325,y
NA,Wheat,Masri and Ryan 2006,NA,10.1016/j.still.2005.03.003,NA
NA,Fallow,McVay et al. 1989,Coastal Plain,10.2136/sssaj1989.03615995005300060040x,y
NA,Fallow,McVay et al. 1989,Limestone Valley,10.2136/sssaj1989.03615995005300060040x,y
NA,"Plow till, Stover harvested",Moebius-Clune et al. 2008,NA,10.2136/sssaj2007.0248,y
NA,"0 year, Maize",Rusinamhodzi et al. 2012,Ruaca,10.1016/j.fcr.2012.07.014,y
NA,Chisel Plough,Sasal et al. 2006,Trial 1,10.1016/j.still.2005.02.025,y
NA,Chisel Plough,Sasal et al. 2006,Trial 2,10.1016/j.still.2005.02.025,y
NA,Chisel Plough,Sasal et al. 2006,Trial 3,10.1016/j.still.2005.02.025,y
NA,Control,Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,y
NA,"Maize, N-0",Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,y
NA,"Maize, N-30",Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,NA
NA,"Maize, N-60",Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,NA
NA,"Maize, N-90",Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,NA
NA,"Wheat, N-0",Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,y
NA,"Wheat, N-40",Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,NA
NA,"Wheat, N-80",Sharma et. al 2010,NA,10.1007/s10705-009-9327-y,NA
NA,Urea,Singh et al. 2007,Rice Harvest,10.1016/j.still.2006.07.020,y
NA,Urea,Singh et al. 2007,Wheat Harvest,10.1016/j.still.2006.07.020,y
NA,TPR/CTM,Singh et al. 2016,NA,10.1016/j.still.2015.08.002,NA
NA,CTDSR/CTM,Singh et al. 2016,NA,10.1016/j.still.2015.08.003,NA
NA,Without residue,Singh et al. 2016,NA,10.1016/j.still.2015.08.005,y
NA,Conventional Till,So et al. 2009,NA,10.1016/j.still.2008.10.017,y
NA,Conventional Ploughing,Thierfelder and Wall 2010,NA,10.1017/S001447971000030X,y
NA,Control,Walia et al. 2010,NA,10.1080/10440046.2010.507519,y
NA,50/50 NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
NA,50/100 NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
NA,75/75 NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
NA,100/100 NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
NA,180:30:50 NPK/150:60:30 NPK,Walia et al. 2010,NA,10.1080/10440046.2010.507519,NA
NA,"Control, Conventional Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,y
NA,"75% NP, Conventional Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
NA,"100% NP, Conventional Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
NA,"75% NP, Gypsum, Conventional Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
NA,"100% NP, Gypsum, Conventional Till",Yaduvanshi and Sharma 2008,NA,10.1016/j.still.2007.09.010,NA
