Paper,DOI,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6,Treatment_7,Trt.combo,Trt.code,Control
Zhang et al. 2016,10.1016/j.geoderma.2015.11.027,1.5x NPK fertilizer plus manure,NA,NA,NA,NA,NA,NA,1.5x NPK fertilizer plus manure,4,
Zhang et al. 2016,10.1016/j.geoderma.2015.11.027,NPK fertilizer plus straw return,NA,NA,NA,NA,NA,NA,NPK fertilizer plus straw return,5,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Control,60 days after CC sowing,NA,NA,NA,NA,NA,"Control, 60 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Control,110 days after CC sowing,NA,NA,NA,NA,NA,"Control, 110 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Control,150 days after CC sowing,NA,NA,NA,NA,NA,"Control, 150 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Control,170 days after CC sowing,NA,NA,NA,NA,NA,"Control, 170 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Barley cover crop,60 days after CC sowing,NA,NA,NA,NA,NA,"Barley cover crop, 60 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Barley cover crop,110 days after CC sowing,NA,NA,NA,NA,NA,"Barley cover crop, 110 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Barley cover crop,150 days after CC sowing,NA,NA,NA,NA,NA,"Barley cover crop, 150 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Barley cover crop,170 days after CC sowing,NA,NA,NA,NA,NA,"Barley cover crop, 170 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Rape cover crop,60 days after CC sowing,NA,NA,NA,NA,NA,"Rape cover crop, 60 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Rape cover crop,110 days after CC sowing,NA,NA,NA,NA,NA,"Rape cover crop, 110 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Rape cover crop,150 days after CC sowing,NA,NA,NA,NA,NA,"Rape cover crop, 150 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Rape cover crop,170 days after CC sowing,NA,NA,NA,NA,NA,"Rape cover crop, 170 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Fallow control,60 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control, 60 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Fallow control,110 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control, 110 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Fallow control,150 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control, 150 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Fallow control,170 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control, 170 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Vetch cover crop,60 days after CC sowing,NA,NA,NA,NA,NA,"Vetch cover crop, 60 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Vetch cover crop,110 days after CC sowing,NA,NA,NA,NA,NA,"Vetch cover crop, 110 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Vetch cover crop,150 days after CC sowing,NA,NA,NA,NA,NA,"Vetch cover crop, 150 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,Vetch cover crop,170 days after CC sowing,NA,NA,NA,NA,NA,"Vetch cover crop, 170 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Control plots, no residues incorporated",200 days after CC sowing,NA,NA,NA,NA,NA,"Control plots, no residues incorporated, 200 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Control plots, no residues incorporated",232 days after CC sowing,NA,NA,NA,NA,NA,"Control plots, no residues incorporated, 232 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Control plots, no residues incorporated",255 days after CC sowing,NA,NA,NA,NA,NA,"Control plots, no residues incorporated, 255 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Control plots, no residues incorporated",280 days after CC sowing,NA,NA,NA,NA,NA,"Control plots, no residues incorporated, 280 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Barley plots, no residues incorporated",200 days after CC sowing,NA,NA,NA,NA,NA,"Barley plots, no residues incorporated, 200 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Barley plots, no residues incorporated",232 days after CC sowing,NA,NA,NA,NA,NA,"Barley plots, no residues incorporated, 232 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Barley plots, no residues incorporated",255 days after CC sowing,NA,NA,NA,NA,NA,"Barley plots, no residues incorporated, 255 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Barley plots, no residues incorporated",280 days after CC sowing,NA,NA,NA,NA,NA,"Barley plots, no residues incorporated, 280 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Rape plots, no residues incorporated",200 days after CC sowing,NA,NA,NA,NA,NA,"Rape plots, no residues incorporated, 200 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Rape plots, no residues incorporated",232 days after CC sowing,NA,NA,NA,NA,NA,"Rape plots, no residues incorporated, 232 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Rape plots, no residues incorporated",255 days after CC sowing,NA,NA,NA,NA,NA,"Rape plots, no residues incorporated, 255 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Rape plots, no residues incorporated",280 days after CC sowing,NA,NA,NA,NA,NA,"Rape plots, no residues incorporated, 280 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Fallow control plots, no residues incorporated",200 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control plots, no residues incorporated, 200 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Fallow control plots, no residues incorporated",232 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control plots, no residues incorporated, 232 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Fallow control plots, no residues incorporated",255 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control plots, no residues incorporated, 255 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Fallow control plots, no residues incorporated",280 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control plots, no residues incorporated, 280 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Vetch plots, no residues incorporated",200 days after CC sowing,NA,NA,NA,NA,NA,"Vetch plots, no residues incorporated, 200 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Vetch plots, no residues incorporated",232 days after CC sowing,NA,NA,NA,NA,NA,"Vetch plots, no residues incorporated, 232 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Vetch plots, no residues incorporated",255 days after CC sowing,NA,NA,NA,NA,NA,"Vetch plots, no residues incorporated, 255 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Vetch plots, no residues incorporated",280 days after CC sowing,NA,NA,NA,NA,NA,"Vetch plots, no residues incorporated, 280 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Barley plots, residues incorporated",200 days after CC sowing,NA,NA,NA,NA,NA,"Barley plots, residues incorporated, 200 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Barley plots, residues incorporated",232 days after CC sowing,NA,NA,NA,NA,NA,"Barley plots, residues incorporated, 232 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Barley plots, residues incorporated",255 days after CC sowing,NA,NA,NA,NA,NA,"Barley plots, residues incorporated, 255 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Barley plots, residues incorporated",280 days after CC sowing,NA,NA,NA,NA,NA,"Barley plots, residues incorporated, 280 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Rape plots, residues incorporated",200 days after CC sowing,NA,NA,NA,NA,NA,"Rape plots, residues incorporated, 200 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Rape plots, residues incorporated",232 days after CC sowing,NA,NA,NA,NA,NA,"Rape plots, residues incorporated, 232 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Rape plots, residues incorporated",255 days after CC sowing,NA,NA,NA,NA,NA,"Rape plots, residues incorporated, 255 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Rape plots, residues incorporated",280 days after CC sowing,NA,NA,NA,NA,NA,"Rape plots, residues incorporated, 280 days after CC sowing",,
